,Gold Futures,GOLD,Cobre Futuros
2020-04-02,1638.9,19.85,2.252
2020-04-03,1646.5,19.95,2.223
2020-04-06,1693.1,20.55,2.248
2020-04-07,1683.7,20.31,2.3075
2020-04-08,1684.1,20.41,2.3065
2020-04-09,1753.6,22.51,2.31
2020-04-13,1762.7,24.37,2.357
2020-04-14,1771.2,24.43,2.3765
2020-04-15,1744.7,24.47,2.3415
2020-04-16,1736.3,25.0,2.341
2020-04-17,1702.7,24.54,2.392
2020-04-20,1715.3,24.92,2.38
2020-04-21,1692.1,24.82,2.3155
2020-04-22,1743.5,26.48,2.355
2020-04-23,1751.0,26.74,2.362
2020-04-24,1741.7,27.1,2.3795
2020-04-27,1731.4,26.93,2.385
2020-04-28,1731.2,26.96,2.387
2020-04-29,1722.4,26.55,2.4085
2020-04-30,1704.9,25.72,2.3805
2020-05-01,1712.0,26.93,2.349
2020-05-04,1725.9,27.38,2.354
2020-05-05,1728.0,28.19,2.376
2020-05-06,1704.4,26.56,2.395
2020-05-07,1743.7,27.26,2.424
2020-05-08,1735.2,27.39,2.4535
2020-05-11,1720.9,26.02,2.4255
2020-05-12,1728.0,26.04,2.406
2020-05-13,1737.3,26.12,2.395
2020-05-14,1762.0,27.14,2.391
2020-05-15,1778.7,28.04,2.375
2020-05-18,1760.6,27.2,2.4475
2020-05-19,1773.4,28.1,2.4665
2020-05-20,1781.7,27.25,2.5055
2020-05-21,1750.4,26.26,2.4815
2020-05-22,1765.6,26.32,2.436
2020-05-26,1740.5,24.73,2.4675
2020-05-27,1740.5,23.92,2.436
2020-05-28,1742.7,23.95,2.465
2020-05-29,1765.7,24.0,2.4755
2020-06-01,1763.7,24.78,2.517
2020-06-02,1749.7,23.95,2.5365
2020-06-03,1723.5,23.22,2.532
2020-06-04,1746.4,23.43,2.536
2020-06-05,1701.9,23.29,2.601
2020-06-08,1723.8,23.56,2.615
2020-06-09,1740.3,24.33,2.647
2020-06-10,1739.0,25.08,2.7015
2020-06-11,1757.6,24.31,2.635
2020-06-12,1755.2,24.07,2.655
2020-06-15,1744.9,24.74,2.6285
2020-06-16,1754.4,24.38,2.6305
2020-06-17,1753.4,24.25,2.6525
2020-06-18,1747.9,23.94,2.652
2020-06-19,1768.6,24.49,2.6655
2020-06-22,1781.7,25.45,2.698
2020-06-23,1797.1,25.68,2.7055
2020-06-24,1792.6,25.71,2.696
2020-06-25,1788.4,25.73,2.7145
2020-06-26,1798.5,25.87,2.712
2020-06-29,1800.1,26.13,2.725
2020-06-30,1820.4,26.94,2.7605
2020-07-01,1801.9,26.81,2.768
2020-07-02,1812.0,26.27,2.78
2020-07-06,1816.1,26.61,2.7965
2020-07-07,1834.3,27.02,2.8225
2020-07-08,1850.6,27.72,2.847
2020-07-09,1833.5,27.59,2.8695
2020-07-10,1831.3,27.11,2.9255
2020-07-13,1843.7,26.13,2.982
2020-07-14,1841.5,27.05,2.9655
2020-07-15,1841.6,27.09,2.9165
2020-07-16,1826.5,26.69,2.9295
2020-07-17,1833.7,27.34,2.9335
2020-07-20,1840.1,28.12,2.9465
2020-07-21,1869.6,28.23,2.989
2020-07-22,1892.6,28.52,2.955
2020-07-23,1917.4,27.99,2.9635
2020-07-24,1925.2,28.44,2.922
2020-07-27,1955.4,29.91,2.9325
2020-07-28,1963.9,29.59,2.9515
2020-07-29,1976.7,28.78,2.9525
2020-07-30,1966.8,28.25,2.9495
2020-07-31,1985.9,28.91,2.911
2020-08-03,1986.3,28.72,2.957
2020-08-04,2021.0,29.75,2.9435
2020-08-05,2049.3,29.84,2.965
2020-08-06,2069.4,29.5,2.9635
2020-08-07,2028.0,28.87,2.8445
2020-08-10,2039.7,28.72,2.9105
2020-08-11,1946.3,26.25,2.923
2020-08-12,1949.0,26.18,2.9375
2020-08-13,1970.4,27.14,2.8595
2020-08-14,1949.8,26.99,2.907
2020-08-17,1998.7,30.13,2.947
2020-08-18,2013.1,30.04,3.01
2020-08-19,1970.3,28.98,3.0545
2020-08-20,1946.5,29.95,3.012
2020-08-21,1947.0,29.31,2.957
2020-08-24,1939.2,28.97,2.97
2020-08-25,1923.1,28.75,2.976
2020-08-26,1952.5,29.37,3.0025
2020-08-27,1932.6,28.58,3.01
2020-08-28,1974.9,29.2,3.0365
2020-08-31,1978.6,29.65,3.082
2020-09-01,1978.9,29.33,3.0485
2020-09-02,1944.7,29.61,3.043
2020-09-03,1937.8,29.26,2.998
2020-09-04,1934.3,29.05,3.081
2020-09-08,1943.2,29.2,3.047
2020-09-09,1954.9,30.46,3.0735
2020-09-10,1964.3,30.11,3.02
2020-09-11,1947.9,29.75,3.059
2020-09-14,1963.7,29.93,3.088
2020-09-15,1966.2,29.99,3.0825
2020-09-16,1970.5,29.99,3.0795
2020-09-17,1949.9,29.14,3.0875
2020-09-18,1962.1,28.89,3.1215
2020-09-21,1910.6,28.19,3.034
2020-09-22,1907.6,28.42,3.0625
2020-09-23,1868.4,27.14,3.0025
2020-09-24,1876.9,27.65,2.976
2020-09-25,1866.3,27.7,2.9785
2020-09-28,1882.3,27.76,2.9995
2020-09-29,1903.2,28.28,2.9985
2020-09-30,1895.5,28.11,3.0425
2020-10-01,1916.3,28.26,2.8805
2020-10-02,1907.6,27.89,2.99
2020-10-05,1920.1,28.37,2.977
2020-10-06,1908.8,27.06,2.978
2020-10-07,1890.8,26.95,3.0425
2020-10-08,1895.1,27.27,3.044
2020-10-09,1926.2,28.05,3.08
2020-10-12,1928.9,28.04,3.07
2020-10-13,1894.6,27.96,3.0535
2020-10-14,1907.3,28.31,3.0635
2020-10-15,1908.9,27.75,3.093
2020-10-16,1906.4,27.57,3.072
2020-10-19,1911.7,27.02,3.087
2020-10-20,1915.4,27.07,3.1435
2020-10-21,1929.5,27.37,3.192
2020-10-22,1904.6,26.89,3.1535
2020-10-23,1905.2,26.81,3.1305
2020-10-26,1905.7,26.63,3.0925
2020-10-27,1911.9,27.09,3.1005
2020-10-28,1879.2,25.92,3.071
2020-10-29,1868.0,26.17,3.064
2020-10-30,1879.9,26.73,3.0565
2020-11-02,1892.5,27.16,3.0855
2020-11-03,1910.4,27.78,3.093
2020-11-04,1896.2,27.42,3.11
2020-11-05,1946.8,29.32,3.1185
2020-11-06,1951.7,28.87,3.1635
2020-11-09,1854.4,26.9,3.167
2020-11-10,1876.4,25.94,3.1685
2020-11-11,1861.6,25.79,3.147
2020-11-12,1873.3,25.91,3.157
2020-11-13,1886.2,25.89,3.189
2020-11-16,1887.8,25.86,3.234
2020-11-17,1885.1,25.37,3.2155
2020-11-18,1873.9,24.46,3.2175
2020-11-19,1861.5,24.18,3.225
2020-11-20,1872.4,24.28,3.3125
2020-11-23,1837.8,23.24,3.2835
2020-11-24,1810.9,22.79,3.3245
2020-11-25,1811.2,22.83,3.336
2020-11-27,1788.1,22.69,3.421
2020-11-30,1780.9,23.14,3.443
2020-12-01,1818.9,23.83,3.49
2020-12-02,1830.2,23.96,3.4925
2020-12-03,1841.1,23.61,3.494
2020-12-04,1840.0,23.5,3.5285
2020-12-07,1866.0,23.95,3.5215
2020-12-08,1874.9,23.9,3.5045
2020-12-09,1838.5,23.36,3.519
2020-12-10,1837.4,23.09,3.5805
2020-12-11,1843.6,22.9,3.534
2020-12-14,1832.1,22.44,3.5335
2020-12-15,1855.3,22.87,3.55
2020-12-16,1859.1,23.07,3.563
2020-12-17,1890.4,23.59,3.6055
2020-12-18,1888.9,23.27,3.637
2020-12-21,1882.8,23.02,3.584
2020-12-22,1870.3,22.52,3.5265
2020-12-23,1878.1,22.83,3.562
2020-12-24,1883.2,22.9,3.5675
2020-12-28,1880.4,22.84,3.5765
2020-12-29,1882.9,22.91,3.5605
2020-12-30,1893.4,23.24,3.5545
2020-12-31,1895.1,22.78,3.524
2021-01-04,1946.6,24.62,3.5615
2021-01-05,1954.4,24.28,3.646
2021-01-06,1908.6,24.5,3.6575
2021-01-07,1913.6,24.77,3.703
2021-01-08,1835.4,23.97,3.68
2021-01-11,1850.8,23.52,3.5705
2021-01-12,1844.2,23.54,3.611
2021-01-13,1854.9,23.6,3.622
2021-01-14,1851.4,23.68,3.668
2021-01-15,1829.9,23.14,3.607
2021-01-19,1840.2,23.39,3.6385
2021-01-20,1866.5,23.83,3.6465
2021-01-21,1865.9,23.68,3.6535
2021-01-22,1856.2,23.47,3.6315
2021-01-25,1859.0,23.44,3.6355
2021-01-26,1854.8,23.28,3.6265
2021-01-27,1848.9,21.99,3.565
2021-01-28,1841.2,22.36,3.5805
2021-01-29,1850.3,22.37,3.5565
2021-02-01,1863.9,22.54,3.5445
2021-02-02,1833.4,22.34,3.5245
2021-02-03,1835.1,22.34,3.565
2021-02-04,1791.2,21.99,3.555
2021-02-05,1813.0,22.33,3.6265
2021-02-08,1834.2,22.46,3.667
2021-02-09,1837.5,22.43,3.719
2021-02-10,1842.7,22.51,3.774
2021-02-11,1826.8,22.19,3.7745
2021-02-12,1823.2,22.15,3.7885
2021-02-16,1799.0,21.7,3.8345
2021-02-17,1772.8,20.83,3.8255
2021-02-18,1775.0,20.32,3.907
2021-02-19,1777.4,19.78,4.0775
2021-02-22,1808.4,20.53,4.149
2021-02-23,1805.9,20.16,4.1875
2021-02-24,1797.9,20.1,4.304
2021-02-25,1775.4,19.45,4.2635
2021-02-26,1728.8,18.67,4.0925
2021-03-01,1723.0,18.97,4.113
2021-03-02,1733.6,19.86,4.222
2021-03-03,1715.8,19.5,4.142
2021-03-04,1700.7,19.54,3.9785
2021-03-05,1698.5,19.84,4.0755
2021-03-08,1678.0,19.5,4.093
2021-03-09,1716.9,19.99,4.0085
2021-03-10,1721.8,20.12,4.0325
2021-03-11,1722.6,20.31,4.139
2021-03-12,1719.8,20.32,4.14
2021-03-15,1729.2,20.77,4.1405
2021-03-16,1730.9,20.71,4.0715
2021-03-17,1727.1,21.13,4.119
2021-03-18,1732.5,20.86,4.108
2021-03-19,1741.7,20.96,4.113
2021-03-22,1738.1,20.62,4.1395
2021-03-23,1725.1,20.24,4.0795
2021-03-24,1733.2,20.16,4.064
2021-03-25,1725.1,19.73,3.978
2021-03-26,1732.3,20.0,4.068
2021-03-29,1712.2,20.16,4.0345
2021-03-30,1683.9,19.51,3.9785
2021-03-31,1713.8,19.8,3.9955
2021-04-01,1726.5,20.37,3.9905
